hostname,ip,owner,version,NAS_ip
18F_AI01,10.5.254.193,Tim,1,null
18F_AI02,10.5.254.192,Tim,1,null
18F_AI03,10.5.254.135,Tim,1,null
18F_AI04,10.5.254.191,Tim,1,null
18F_AI05,10.5.254.134,Tim,1,null
18F_AI06,10.5.254.133,Tim,1,null
18F_AI07,10.5.236.140,Tim,1,null
18F_AI08,10.5.236.133,Tim,1,null
21F_R5A1,10.5.238.51,Martin,1,null
21F_R5A2,10.5.238.52,Martin,1,null
21F_R5A3,10.5.238.53,Martin,1,null
21F_R5A4,10.5.238.54,Martin,1,null
21F_R5B1,10.5.238.55,Martin,1,null
21F_R5B2,10.5.238.56,Martin,1,null
21F_R5B3,10.5.238.57,Martin,1,null
21F_R5B4,10.5.238.58,Martin,1,null
21F_Pista1,10.5.238.107,Harry,1,null
21F_Pista2,10.5.238.108,Harry,1,null
21F_Ernesto,10.5.238.109,Harry,1,null
